#ship_id,depart_port,dest_port
0xf5796fc3c4bc7ced89d3d3a99c11ef5b13db0b83,CEUTA,DILISKELESI
0x50720051ed7692cbb84a1ef0240394dc3112b658,PIRAEUS,VALLETTA
0x5f5de9357a384bb31aabafdcc3924b06e75c0a04,FOS SUR MER,BARCELONA
0xa2160462c903b5325f85cbd1bf760a37983c4129,VALENCIA,BARCELONA
0x00e225cd5b1926c6b0eb4683692bc2f0ba9a3a2b,DILISKELESI,ALEXANDRIA
0x7c5ed8535e5a185d8fd8bf7eb246bc87c5fd5282,LIVORNO,FOS SUR MER
0x799871769ef5decf343e469a303e2e3afe8ee289,GIBRALTAR,MONACO
0x16cdfecb8a32e9bb907b381d4f64a5d68cec36d9,HAIFA,ISKENDERUN
0x11ae2abe4a4378be7cde39fca41446fe2a6dfb03,GENOVA,BARCELONA
0xd43a07b0bdc0bbeff53036b049eba199f297b408,PIRAEUS,PORT SAID
0xbdf40f7c1c09d12f1900d01d7cff9cbed7aa00dd,VALLETTA,PALMA DE MALLORCA
0x23046926b950d8bbcdff7db97e5ef84c089c05f4,GEMLIK,NEMRUT
0x1101e8cfde321a5e5d61ecd3fdf1dd32ad7c18a0,GEMLIK,DILISKELESI
0x46765664fc931d6a4343b95385e41c209021afb2,TARRAGONA,CARTAGENA
0x3b1dc5f33a03b8bfc67338fe36adcb660da2edac,VALLETTA,MARSAXLOKK
0x57291484a19cdeb0edd6b880a5cfec3ade46b354,GENOVA,MONACO
0x2a948737fb4fa0542a98da4b3d40da1972d6f522,BARCELONA,VALENCIA
0x58b260bc521ccdecb50692f06bb2cdf60fd0820c,GENOVA,LIVORNO
0xba88fade7873f2f7bcadf4c8d9c6b355bc44325e,MARSAXLOKK,VALLETTA
0x823e13f6e1e661bade1966c81b31c25163f6d749,GEMLIK,PIRAEUS
0x879105d34165cf15e3e1a30d6ccca24a02a88393,VALLETTA,PIRAEUS
0x8af77fd970eabe0ec50d3ae637c97263a21c5016,TARRAGONA,BARCELONA
0x841951dce44988178868bbcab71df388854e5b76,GENOVA,LIVORNO
0x051ae778ac823021b0a72a2927f434fe90cd9a3f,CEUTA,CARTAGENA
0xb71d3deb617fdc1c7ba0928426a0e3e01a3c9fed,LIVORNO,FOS SUR MER
0x8becf1ebad2a59e46c735489608c31f445310940,LIVORNO,BARCELONA
0xb1a3c0e39d0d08f70c5cae879f46fc2c9943446d,LIVORNO,GENOVA
0x39da2681a4621694e0d71b885079d62e5ec6b614,CEUTA,CARTAGENA
0x641b4c65e679b09d89b44cf54a787751128acba9,VALLETTA,PORT SAID
0x406495a6ef19d2cec81f5f87f3fb372123881b91,BARCELONA,VALENCIA
0xe12115efd9af26ca25e20bc89877a40033141677,BARCELONA,VALENCIA
0x7cbb45cd4fa01863d0d429fe7a036f60d7e3b05b,AUGUSTA,FOS SUR MER
0xc5890253c349d9aeeb6cee8eaa09a54aeea0dc5f,ALEXANDRIA,TARRAGONA
0xfe4a5b7fe10054690c48d52b9759669fb5ec6abc,TARRAGONA,AUGUSTA
0x841951dce44988178868bbcab71df388854e5b76,TARRAGONA,BARCELONA
0xd4520c528a15d86989c56a5266ae20863d4cb707,VALENCIA,PIRAEUS
0x023db8bbb80aa3144444cefe369f4e4edfedd70f,PALMA DE MALLORCA,BARCELONA
