#x,y,arrival_port_calc,speed,remains_millis,count
87,95,VALLETTA,6,163545000,8
87,95,VALLETTA,5,163600000,3
87,95,VALLETTA,4,163680000,1
87,95,TARRAGONA,12,132060000,3
87,95,MARSAXLOKK,18,138120000,4
87,95,MARSAXLOKK,13,161370000,4
87,95,MARSAXLOKK,11,180300000,6
87,95,LIVORNO,18,15090000,2
87,95,LIVORNO,17,15360000,1
87,95,LIVORNO,11,26220000,5
87,95,LIVORNO,10,27075000,4
87,95,LIVORNO,9,27700000,3
87,95,GENOVA,15,150000,2
87,95,GENOVA,14,120000,3
87,95,GENOVA,12,0,1
87,95,GENOVA,10,180000,1
87,95,GENOVA,7,0,1
87,95,AUGUSTA,13,168372000,5
87,95,AUGUSTA,12,242040000,1
87,95,AUGUSTA,11,242100000,2
87,95,AUGUSTA,10,241800000,1
87,95,AUGUSTA,8,241620000,1
87,95,AUGUSTA,7,241500000,1
86,95,VALLETTA,6,165153333,9
86,95,TARRAGONA,12,132780000,6
86,95,TARRAGONA,9,133320000,1
86,95,TARRAGONA,7,133440000,1
86,95,MONACO,16,14940000,3
86,95,MONACO,15,15727500,8
86,95,MONACO,14,16380000,1
86,95,MONACO,12,16560000,1
86,95,MONACO,11,16740000,2
86,95,MONACO,6,17040000,1
86,95,MONACO,5,16920000,1
86,95,MARSAXLOKK,17,138540000,1
86,95,MARSAXLOKK,15,138660000,1
86,95,MARSAXLOKK,13,138780000,1
86,95,MARSAXLOKK,12,161820000,1
86,95,MARSAXLOKK,11,173422500,8
86,95,MARSAXLOKK,10,167160000,4
86,95,MARSAXLOKK,9,162720000,2
86,95,MARSAXLOKK,7,139080000,1
86,95,MARSAXLOKK,5,139260000,2
86,95,LIVORNO,19,16500000,1
86,95,LIVORNO,17,15540000,1
86,95,LIVORNO,16,15810000,2
86,95,LIVORNO,14,16080000,1
86,95,LIVORNO,11,26880000,4
86,95,LIVORNO,10,21720000,2
86,95,LIVORNO,9,28260000,5
86,95,LIVORNO,8,27720000,5
86,95,LIVORNO,7,27840000,1
86,95,LIVORNO,6,29115000,4
86,95,GENOVA,9,0,1
86,95,GENOVA,5,0,1
86,95,FOS SUR MER,10,81052000,15
86,95,FOS SUR MER,9,82320000,1
86,95,FOS SUR MER,2,105000000,1
86,95,CARTAGENA,18,126060000,2
86,95,CARTAGENA,17,126360000,1
86,95,CARTAGENA,16,126600000,2
86,95,CARTAGENA,14,126900000,1
86,95,CARTAGENA,12,127020000,1
86,95,CARTAGENA,8,127200000,1
86,95,CARTAGENA,7,127440000,2
86,95,BARCELONA,17,72120000,3
86,95,BARCELONA,16,72360000,1
86,95,BARCELONA,15,78366000,10
86,95,BARCELONA,14,88085455,11
86,95,BARCELONA,13,94236000,5
86,95,BARCELONA,12,99600000,10
86,95,BARCELONA,11,85530000,4
86,95,BARCELONA,10,78630000,2
86,95,BARCELONA,9,91160000,3
86,95,BARCELONA,8,89070000,2
86,95,BARCELONA,7,86310000,6
86,95,AUGUSTA,13,227715000,12
86,95,AUGUSTA,12,150750000,2
86,95,AUGUSTA,10,150960000,1
86,95,AUGUSTA,7,210920000,3
86,95,AUGUSTA,6,240840000,2
86,95,AUGUSTA,5,240870000,2
86,95,AUGUSTA,4,196230000,2
85,95,LIVORNO,19,16740000,2
85,95,LIVORNO,18,16980000,1
85,95,LIVORNO,17,17160000,1
85,95,LIVORNO,16,17340000,1
85,95,LIVORNO,15,17720000,3
85,95,LIVORNO,14,17850000,2
85,95,LIVORNO,11,18240000,1
85,95,LIVORNO,9,18420000,1
85,95,LIVORNO,6,18760000,3
85,95,LIVORNO,4,19080000,1
85,95,LIVORNO,3,19680000,1
85,95,LIVORNO,2,19260000,1
85,95,LIVORNO,0,19440000,1
85,95,GENOVA,18,2370000,2
85,95,GENOVA,17,2340000,2
85,95,GENOVA,16,2040000,1
85,95,GENOVA,15,2100000,2
85,95,GENOVA,14,2040000,6
85,95,GENOVA,13,1680000,1
85,95,GENOVA,12,1440000,1
85,95,GENOVA,11,1400000,6
85,95,GENOVA,10,1520000,3
85,95,GENOVA,9,1770000,8
85,95,GENOVA,8,1423636,11
85,95,GENOVA,7,3732000,5
85,95,GENOVA,6,1332000,10
85,95,GENOVA,5,2506667,9
85,95,GENOVA,4,4397143,7
85,95,GENOVA,3,3250000,6
85,95,GENOVA,2,3228000,5
85,95,GENOVA,1,1853333,9
85,95,FOS SUR MER,18,45460000,3
85,95,FOS SUR MER,17,45090000,6
85,95,FOS SUR MER,16,45870000,8
85,95,FOS SUR MER,15,46200000,2
85,95,FOS SUR MER,13,81637500,8
85,95,FOS SUR MER,12,93264000,10
85,95,FOS SUR MER,11,93248000,15
85,95,FOS SUR MER,10,102900000,8
85,95,FOS SUR MER,9,101040000,3
85,95,FOS SUR MER,8,87570000,4
85,95,FOS SUR MER,7,75934286,7
85,95,FOS SUR MER,6,62117143,7
85,95,FOS SUR MER,5,66600000,3
85,95,FOS SUR MER,4,47340000,1
85,95,FOS SUR MER,2,63660000,3
84,95,FOS SUR MER,13,91980000,1
88,94,LIVORNO,18,12840000,1
88,94,LIVORNO,12,23400000,4
88,94,LIVORNO,11,23630000,6
88,94,GENOVA,16,2580000,2
87,94,VALLETTA,10,159698182,11
87,94,VALLETTA,9,160770000,4
87,94,VALLETTA,8,161400000,6
87,94,VALLETTA,7,162060000,5
87,94,VALLETTA,6,162540000,1
87,94,TARRAGONA,12,130956000,10
87,94,TARRAGONA,11,130800000,1
87,94,MARSAXLOKK,19,136752000,10
87,94,MARSAXLOKK,18,137660000,3
87,94,MARSAXLOKK,13,167784375,32
87,94,MARSAXLOKK,12,179292000,5
87,94,MARSAXLOKK,11,179820000,1
87,94,LIVORNO,19,13485000,4
87,94,LIVORNO,18,13710000,12
87,94,LIVORNO,17,14370000,2
87,94,LIVORNO,12,26125714,7
87,94,LIVORNO,11,24598065,31
87,94,GENOVA,17,540000,1
87,94,GENOVA,16,1068000,10
87,94,GENOVA,15,1387059,17
87,94,GENOVA,14,1605000,12
87,94,GENOVA,13,720000,5
87,94,GENOVA,12,360000,1
87,94,GENOVA,11,2141538,13
87,94,GENOVA,10,960000,1
87,94,GENOVA,9,480000,1
87,94,GENOVA,8,840000,1
87,94,GENOVA,7,660000,2
87,94,AUGUSTA,13,148352000,15
86,94,TARRAGONA,12,129540000,6
86,94,LIVORNO,19,15500000,12
86,94,GENOVA,24,3960000,5
86,94,GENOVA,23,3540000,2
86,94,GENOVA,22,3300000,2
86,94,GENOVA,21,3975000,8
86,94,GENOVA,20,3210000,2
86,94,GENOVA,19,3272727,11
86,94,GENOVA,18,1990000,6
86,94,GENOVA,17,1965000,4
86,94,GENOVA,13,240000,3
86,94,GENOVA,12,430000,6
86,94,GENOVA,11,520000,3
86,94,FOS SUR MER,10,78955714,14
86,94,CARTAGENA,19,125440000,3
86,94,CARTAGENA,18,125190000,6
86,94,BARCELONA,18,71225455,11
86,94,BARCELONA,16,81120000,10
86,94,BARCELONA,15,78536667,18
86,94,BARCELONA,14,90998824,17
86,94,BARCELONA,13,103572857,14
85,94,MONACO,15,13698000,10
85,94,GENOVA,20,2760000,1
85,94,GENOVA,19,2970000,2
85,94,GENOVA,18,3120000,1
85,94,GENOVA,17,2865000,4
85,94,GENOVA,16,2610000,2
85,94,GENOVA,15,7680000,1
85,94,GENOVA,13,7560000,1
85,94,GENOVA,12,7440000,1
85,94,GENOVA,10,7320000,1
85,94,GENOVA,9,7200000,1
85,94,GENOVA,7,7080000,1
85,94,FOS SUR MER,18,45060000,3
85,94,FOS SUR MER,17,43875652,23
85,94,FOS SUR MER,16,43680000,1
85,94,FOS SUR MER,11,100264615,13
85,94,FOS SUR MER,10,78120000,16
85,94,CARTAGENA,18,123982500,8
85,94,BARCELONA,18,70140000,4
85,94,BARCELONA,16,80400000,2
85,94,BARCELONA,15,75210000,6
85,94,BARCELONA,14,97850000,6
85,94,BARCELONA,13,102020000,3
84,94,MONACO,15,12190000,6
84,94,GENOVA,18,9420000,1
84,94,GENOVA,17,9150000,2
84,94,GENOVA,16,8790000,2
84,94,GENOVA,15,8148000,5
84,94,FOS SUR MER,13,90793846,13
84,94,FOS SUR MER,11,98748000,5
89,93,LIVORNO,15,18740000,18
89,93,LIVORNO,14,18130000,6
89,93,GENOVA,16,5160000,1
88,93,LIVORNO,19,11385000,4
88,93,LIVORNO,18,11820000,12
88,93,LIVORNO,17,11090000,6
88,93,LIVORNO,15,21930000,6
88,93,LIVORNO,14,22500000,1
88,93,LIVORNO,12,22620000,1
88,93,LIVORNO,11,22800000,2
88,93,GENOVA,16,3612000,5
88,93,GENOVA,14,4605000,16
88,93,GENOVA,13,5940000,1
88,93,GENOVA,12,5820000,1
88,93,GENOVA,11,5640000,2
87,93,VALLETTA,10,158520000,5
87,93,VALLETTA,9,156822857,7
87,93,VALLETTA,8,156000000,7
87,93,VALLETTA,7,156990000,2
87,93,VALLETTA,6,156660000,2
87,93,VALLETTA,4,157140000,3
87,93,MARSAXLOKK,19,135300000,14
87,93,MARSAXLOKK,14,156660000,1
87,93,MARSAXLOKK,13,161274000,20
87,93,MARSAXLOKK,12,175767273,11
87,93,LIVORNO,19,12488571,7
87,93,LIVORNO,11,21228571,21
87,93,LIVORNO,10,20640000,1
87,93,GENOVA,24,4800000,1
87,93,GENOVA,23,5340000,5
87,93,GENOVA,21,5772000,15
87,93,GENOVA,19,6100000,3
87,93,GENOVA,15,3036000,10
87,93,GENOVA,14,3295000,12
87,93,GENOVA,11,4312500,16
87,93,AUGUSTA,13,145884000,15
86,93,TARRAGONA,13,126240000,1
86,93,TARRAGONA,12,127625714,21
86,93,GENOVA,24,4460000,3
86,93,GENOVA,19,5214000,10
86,93,GENOVA,18,2790000,4
85,93,GENOVA,18,3780000,10
85,93,FOS SUR MER,18,42168000,5
85,93,FOS SUR MER,17,42780000,9
85,93,FOS SUR MER,10,74940000,3
85,93,CARTAGENA,19,122790000,4
85,93,CARTAGENA,18,123240000,2
85,93,BARCELONA,19,68990000,6
85,93,BARCELONA,18,69570000,2
85,93,BARCELONA,16,77345714,21
85,93,BARCELONA,14,88431000,20
85,93,BARCELONA,13,100605000,8
84,93,MONACO,16,10710000,2
84,93,MONACO,15,11088000,5
84,93,GENOVA,19,10500000,3
84,93,GENOVA,18,9852000,5
84,93,FOS SUR MER,17,41574000,10
84,93,FOS SUR MER,13,88740000,1
84,93,FOS SUR MER,11,96657273,22
84,93,FOS SUR MER,10,73009412,17
84,93,CARTAGENA,19,121748571,7
84,93,BARCELONA,19,68280000,1
84,93,BARCELONA,18,67860000,3
84,93,BARCELONA,16,73192500,8
84,93,BARCELONA,13,98826000,10
83,93,MONACO,15,9852000,5
83,93,GENOVA,19,11100000,3
83,93,GENOVA,18,10980000,2
83,93,FOS SUR MER,10,70548000,5
90,92,LIVORNO,15,14760000,2
90,92,LIVORNO,13,14280000,3
90,92,GENOVA,16,7740000,1
89,92,LIVORNO,17,9360000,13
89,92,LIVORNO,15,17415000,4
89,92,GENOVA,21,8740000,3
89,92,GENOVA,16,6651429,7
89,92,GENOVA,14,7615385,13
89,92,GENOVA,13,7680000,1
88,92,VALLETTA,12,152727273,11
88,92,VALLETTA,11,153795000,4
88,92,MARSAXLOKK,19,133920000,5
88,92,MARSAXLOKK,18,133191429,7
88,92,MARSAXLOKK,14,154020000,3
88,92,MARSAXLOKK,13,170620000,15
88,92,MARSAXLOKK,12,174030000,2
88,92,LIVORNO,11,17464615,13
88,92,LIVORNO,10,18900000,5
88,92,GENOVA,24,7080000,3
88,92,GENOVA,23,7450000,6
88,92,GENOVA,21,7692000,10
88,92,GENOVA,19,8265000,4
88,92,GENOVA,18,8780000,3
88,92,GENOVA,15,4740000,1
88,92,GENOVA,14,6847500,24
88,92,AUGUSTA,13,143260000,9
88,92,AUGUSTA,12,142560000,3
87,92,VALLETTA,11,154350000,2
87,92,VALLETTA,10,154620000,1
87,92,VALLETTA,9,154740000,1
